                                    repo,                                   commit, notebooks, language, version
    rajurajvijay619/Clickbait_Classifier, 009b4aebe233dc910012f80b801db7272c0a5fb0,         1,    python,  2.7.13
                    Ryxai/MLND-Section-2, 6c6720d62a953ce23bbee1e510c97861160ea9fd,         1,    python,  2.7.12
                ethanruhe/ml_for_trading, de25c69809ddc4664affc5d89ed76158238ad18d,         1,    python,   3.6.3
                         ryoppippi/NL100, 0f06ea5b5ccb701203b46864fd12416617f3bf38,         3,    python,   3.6.0
                          pd-Shah/Pandas, 435bffaa9b18a89674407235ed71664076d47ca3,         1,    python,   3.5.2
                             divyam28/ML, edc2a574603904a9b7b9f1889f750d316eccb4eb,         1,    python,   3.6.3
                   asalamaah/SpringBoard, 8b74d6b6131c95477aba8b7cb2cd015654ee919f,         2,    python,  2.7.11
                     brandonfry/pythonds, 99583f0e40fbeab5f91411657b810b141f7850a5,         1,    python,   3.5.4
           abilash21/Session1Assignment1, 91ba13e6e61f38e2cad11eb12bceae8255204388,         1,    python,   3.6.3
        oppasource/Unsupervised-Learning, bf5f8da5fad1b4eb443c98311e95175d674231f8,         1,    python,   3.4.3
                  ytliu0721/quant-python, f3582967a59dde64fd882d386fc9750272982d07,         1,    python,   3.6.1
        FlorinGh/learningPandas_Harrison, bf7cf5a5793f19c18ebe0344a85f93c12f1d974c,         1,    python,   3.6.3
                        superdino1/watch, 2a7aba2b1700dbe5eed603ef09e566367a8f497a,         1,    python,  2.7.13
                    blomadam/CodeSamples, dce9de0c9caf482dda1543bd3740221102f0b4c1,         1,    python,   2.7.9
                JonDesu/JupyterNotebooks, 5e0e2c54df288812289cc4cec9e690e0e542ca7a,         1,    python,   3.6.1
      olpa/stepic_neural_networks_public, d58e9a5f8bd312a7fa3a00c688b738767f595d39,         2,    python,   3.4.3
                 tanmoy7989/paper3_plots, 249037ebea4c2c497514113cfe6fe79458f64af2,         1,    python,  2.7.13
        devarajuvinoda/DataVisualization, d202b88649c8ffa99010bda4f26bc3b797ef5fd4,         1,    python,   3.5.4
        NickGervais/linear_regression_ML, 74b72a08eab72405c422e2873fd37a52a2f73b58,         2,    python,   3.6.2
                    bbrandom91/WeatherPy, e7686e5ec76d265d590d8d560a65368f89154a86,         1,    python,   3.6.2
               nomalet/TimeTemp_Resample, 8b11037fcc763319f5ca57c51bdba2979b5e1fb2,         1,    python,   3.6.4
